bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1989930,2186,HB1,4,Passed,2025-06-30,"Making appropriations for the expenses of certain departments of the state for fiscal years ending June 30, 2026 and June 30, 2027.","Making appropriations for the expenses of certain departments of the state for fiscal years ending June 30, 2026 and June 30, 2027.",0,,2025-06-30,"Signed by Governor Ayotte 06/27/2025; Chapter 140; eff 07/01/2025",https://legiscan.com/NH/bill/HB1/2025,https://gc.nh.gov/bill_status/legacy/bs2016/bill_status.aspx?lsr=1165&sy=2025&sortoption=&txtsessionyear=2025&txtbillnumber=HB1
1989593,2186,HB2,4,Passed,2025-06-30,"Relative to state fees, funds, revenues, and expenditures.","Relative to state fees, funds, revenues, and expenditures.",0,,2025-07-08,"Without Objection, the Clerk is authorized to make technical and administrative corrections which are necessary to reflect the intent of the Senate, Motion Adopted; 06/05/2025; Senate Journal 15",https://legiscan.com/NH/bill/HB2/2025,https://gc.nh.gov/bill_status/legacy/bs2016/bill_status.aspx?lsr=1170&sy=2025&sortoption=&txtsessionyear=2025&txtbillnumber=HB2
1898478,2186,HB10,4,Passed,2025-06-11,"Establishing a parental bill of rights.","Establishing a parental bill of rights.",0,,2025-06-11,"Signed by Governor Ayotte 06/10/2025; Chapter 74; eff. 07/01/2025",https://legiscan.com/NH/bill/HB10/2025,https://gc.nh.gov/bill_status/legacy/bs2016/bill_status.aspx?lsr=42&sy=2025&sortoption=&txtsessionyear=2025&txtbillnumber=HB10
1989760,2186,HB25,4,Passed,2025-07-22,"Making appropriations for capital improvements.","Making appropriations for capital improvements.",0,,2025-07-22,"Signed by Governor Ayotte 07/15/2025; Chapter 159; eff.I. Sec 18 eff 06/30/2025 II. Rem eff 07/01/2025 House Journal  18",https://legiscan.com/NH/bill/HB25/2025,https://gc.nh.gov/bill_status/legacy/bs2016/bill_status.aspx?lsr=1160&sy=2025&sortoption=&txtsessionyear=2025&txtbillnumber=HB25
1898487,2186,HB50,2,Engrossed,2025-03-28,"Relative to intentional or knowing violation of the prohibition on teaching discrimination.","Relative to intentional or knowing violation of the prohibition on teaching discrimination.",0,,2025-05-15,"Inexpedient to Legislate, Motion Adopted, Voice Vote === BILL KILLED ===; 05/15/2025; Senate Journal 13",https://legiscan.com/NH/bill/HB50/2025,https://gc.nh.gov/bill_status/legacy/bs2016/bill_status.aspx?lsr=2&sy=2025&sortoption=&txtsessionyear=2025&txtbillnumber=HB50
1898553,2186,HB51,2,Engrossed,2025-03-12,"Relative to hemp-derived cannabinoids and the definition of cannabis in therapeutic cannabis.","Relative to hemp-derived cannabinoids and the definition of cannabis in therapeutic cannabis.",0,,2025-04-17,"Pending Motion Inexpedient to Legislate; 04/17/2025; Senate Journal 10",https://legiscan.com/NH/bill/HB51/2025,https://gc.nh.gov/bill_status/legacy/bs2016/bill_status.aspx?lsr=3&sy=2025&sortoption=&txtsessionyear=2025&txtbillnumber=HB51
1898707,2186,HB52,1,Introduced,2024-12-23,"Relative to legal holidays.","Relative to legal holidays.",0,,2025-03-13,"Inexpedient to Legislate: Motion Adopted Voice Vote 03/13/2025 House Journal  8 P. 73",https://legiscan.com/NH/bill/HB52/2025,https://gc.nh.gov/bill_status/legacy/bs2016/bill_status.aspx?lsr=4&sy=2025&sortoption=&txtsessionyear=2025&txtbillnumber=HB52
1898575,2186,HB53,2,Engrossed,2025-03-11,"Permitting qualifying patients and designated caregivers to cultivate cannabis for therapeutic use.","Permitting qualifying patients and designated caregivers to cultivate cannabis for therapeutic use.",0,,2025-04-17,"No Pending Motion; 04/17/2025 Senate Journal 10",https://legiscan.com/NH/bill/HB53/2025,https://gc.nh.gov/bill_status/legacy/bs2016/bill_status.aspx?lsr=6&sy=2025&sortoption=&txtsessionyear=2025&txtbillnumber=HB53
1898820,2186,HB54,1,Introduced,2024-12-23,"Allowing alternative treatment centers to operate for-profit.","Allowing alternative treatment centers to operate for-profit.",1244,"House Finance",2025-04-02,"Retained in Committee",https://legiscan.com/NH/bill/HB54/2025,https://gc.nh.gov/bill_status/legacy/bs2016/bill_status.aspx?lsr=10&sy=2025&sortoption=&txtsessionyear=2025&txtbillnumber=HB54
1898685,2186,HB55,2,Engrossed,2025-03-11,"Relative to the Selective Service Compliance Act.","Relative to the Selective Service Compliance Act.",0,,2025-05-01,"Inexpedient to Legislate, Motion Adopted, Voice Vote === BILL KILLED ===; 05/01/2025; Senate Journal 11",https://legiscan.com/NH/bill/HB55/2025,https://gc.nh.gov/bill_status/legacy/bs2016/bill_status.aspx?lsr=17&sy=2025&sortoption=&txtsessionyear=2025&txtbillnumber=HB55
